x,v
0.000000,0.000000
0.062500,0.092300
0.070300,0.100900
0.078100,0.108900
0.093800,0.123200
0.156300,0.160800
0.226600,0.175100
0.234400,0.175300
0.500000,0.054500
0.804700,-0.245300
0.859400,-0.224500
0.906300,-0.169100
0.945300,-0.103100
0.953100,-0.088600
0.960900,-0.073900
0.968800,-0.059100
1.000000,0.000000
